No.,repo_name,repo_url,contributors,watchers,forks,stars,size,open_issues,pull_requests,releases,commits,events,average_time_close_pull_requests_first_100,average_time_close_pull_requests_last_100,average_time_close_issues_first_100,average_time_close_issues_last_100,frequency_commits_first_100,frequency_commits_last_100,frequency_events_last_100,creation_date
14,microsoft/microsoft-ui-xaml,https://github.com/microsoft/microsoft-ui-xaml,153,220,701,6484,276903,1786,9,109,1896,211,448416758.8,448416758.8,28917628.64,2303074.69,158075.07,581625.14,4259.05,7/26/2018
15,scummvm/scummvm,https://github.com/scummvm/scummvm,815,138,1048,2354,1916810,0,23,10,159865,300,443894953.1,443894953.1,0,0,46915.55,4359.35,4290.93,2/12/2011
16,hyperion-project/hyperion.ng,https://github.com/hyperion-project/hyperion.ng,144,85,393,3240,37568,54,2,16,2669,273,442392517,442392517,161302241.9,161302241.9,68174.38,348101.55,14878.64,6/15/2016
17,eranpeer/FakeIt,https://github.com/eranpeer/FakeIt,56,42,176,1274,15991,74,2,31,1553,44,426093438.5,426093438.5,65493026.43,65493026.43,21461,782899.78,167633.7045,9/1/2013
18,NVIDIA/thrust,https://github.com/NVIDIA/thrust,108,207,757,4947,17809,0,8,49,4758,51,425070749.3,425070749.3,0,0,164193.84,221502.72,149779.4118,3/6/2012
19,PCSX2/pcsx2,https://github.com/PCSX2/pcsx2,417,356,1652,12363,243288,519,23,4304,20054,245,422343735.9,422343735.9,57834372.42,436330.81,87870.2,30240.77,3051.81,12/22/2013
20,KhronosGroup/KTX-Software,https://github.com/KhronosGroup/KTX-Software,79,37,237,906,217350,49,1,7,1901,299,418677617,418677617,39943385.59,39943385.59,1520899.69,320889.92,17962.17,8/15/2013
21,lagadic/visp,https://github.com/lagadic/visp,100,33,288,738,225916,62,2,9,12125,265,417497096.5,417497096.5,28942800.65,28942800.65,19243.57,28539.7,33067.01,9/15/2015
22,opentoonz/opentoonz,https://github.com/opentoonz/opentoonz,123,180,534,4598,119871,789,12,27,4084,262,412172510.4,412172510.4,15878558.14,2878546.5,8488.05,229501.4,7332.9,3/18/2016
23,stlab/libraries,https://github.com/stlab/libraries,33,50,67,665,33648,52,2,29,1403,42,411569120,411569120,28840734.37,28840734.37,324530.32,789107.39,136860.1905,5/15/2015
24,DeFiCh/ain,https://github.com/DeFiCh/ain,844,35,123,410,181223,46,7,110,61646,249,409919624.9,409919624.9,77881070.93,77881070.93,145021.08,120960.01,56486.28,12/15/2019
25,Jmgr/actiona,https://github.com/Jmgr/actiona,12,25,65,541,10058,60,1,0,1188,45,409389783,409389783,44379645.6,44379645.6,70709.96,1182788.81,169471.5111,9/17/2011
26,Tencent/sluaunreal,https://github.com/Tencent/sluaunreal,32,103,426,1808,37782,106,1,28,1389,66,407846703,407846703,526107.26,13423569.02,114090.68,162591.96,118428.9848,7/30/2018
27,nodegui/nodegui,https://github.com/nodegui/nodegui,75,94,299,8965,100311,80,1,122,1323,168,400940698,400940698,35035127.69,35035127.69,28651.9,608092.09,47076.75,5/14/2019
28,GarageGames/Torque2D,https://github.com/GarageGames/Torque2D,37,260,1547,1668,180187,30,1,6,972,5,399857075,399857075,53252996.07,53252996.07,16860.7,1313318.77,926031.6,2/5/2013
29,supertuxkart/stk-code,https://github.com/supertuxkart/stk-code,251,296,1070,4586,375065,416,6,11,23482,217,399756775,399756775,12146509.64,3891032.01,138138.93,178245.9,8151.93,1/15/2014
30,mmatyas/supermariowar,https://github.com/mmatyas/supermariowar,21,35,75,450,63735,35,1,9,1604,18,391291033,391291033,44993990.2,44993990.2,269139.23,132300.1,424691.6111,3/8/2015
31,souffle-lang/souffle,https://github.com/souffle-lang/souffle,141,42,210,945,541432,128,2,21,10629,92,390173065.5,390173065.5,22397630.19,4767350.68,96583.35,603444.69,83091.63043,3/12/2016
32,qgis/QGIS,https://github.com/qgis/QGIS,714,362,3047,10849,4360394,4819,51,97,89621,251,388218723.3,388218723.3,414510763.6,824044.16,33028.22,25915.86,1209.32,5/2/2011
33,lilypond/lilypond,https://github.com/lilypond/lilypond,316,38,69,534,160400,0,1,5,34552,132,387810938,387810938,0,0,253319.38,31486.66,57096.77,9/15/2013
34,vergecurrency/verge,https://github.com/vergecurrency/verge,75,266,395,1409,86648,0,1,33,2404,98,385641834,385641834,0,0,65621.21,111734.23,70875.70408,1/23/2016
35,u8sand/Baka-MPlayer,https://github.com/u8sand/Baka-MPlayer,41,32,92,441,10405,89,2,7,1437,9,383997444.5,383997444.5,28017869.45,28017869.45,24872.52,2236355.45,454917.4444,7/7/2014
36,NGSolve/ngsolve,https://github.com/NGSolve/ngsolve,66,36,80,458,58362,15,1,31,13063,131,383412176,383412176,33509720.73,33509720.73,106775.31,38057.27,54463.12,7/18/2017
37,OSGeo/gdal,https://github.com/OSGeo/gdal,631,164,2601,5029,401080,507,11,49,58506,284,382304805.8,382304805.8,5313874.07,383205.12,83744.9,6211.68,915.26,10/9/2012
38,notepad-plus-plus/notepad-plus-plus,https://github.com/notepad-plus-plus/notepad-plus-plus,423,643,4675,23572,273107,2524,28,118,6185,275,381535537.5,381535537.5,35723823.61,653889.81,133656.44,47173.32,2508.41,3/28/2015
39,ceres-solver/ceres-solver,https://github.com/ceres-solver/ceres-solver,113,102,1049,3949,32777,79,1,0,2197,256,379254478,379254478,129677941.5,129677941.5,54057.26,311915.15,36357.49,1/6/2014
40,mumble-voip/mumble,https://github.com/mumble-voip/mumble,376,168,1136,6534,120294,430,36,45,10918,256,378076995.3,378076995.3,123982597,1512944.49,6688.53,299063.33,3145.49,2/26/2011
41,moneymanagerex/moneymanagerex,https://github.com/moneymanagerex/moneymanagerex,79,71,288,1860,224039,469,1,45,21119,275,372354949,372354949,26856372.31,1377142.53,2254526.84,18493.63,4314.83,5/23/2014
42,drawpile/Drawpile,https://github.com/drawpile/Drawpile,100,55,135,1070,47261,152,2,43,8185,277,365353472.5,365353472.5,11052513.85,2977906.48,13569.27,8722.4,11200.29,11/2/2010
43,ja2-stracciatella/ja2-stracciatella,https://github.com/ja2-stracciatella/ja2-stracciatella,61,23,80,462,95887,253,6,13,11980,261,364167804.5,364167804.5,107624376.1,4406115.45,11556.26,91515.26,29865.69,2/14/2016
44,KhronosGroup/Vulkan-ValidationLayers,https://github.com/KhronosGroup/Vulkan-ValidationLayers,371,63,415,798,183811,233,15,37,18491,289,362290048.7,362290048.7,33964459.35,1153691.93,48185.34,9533.58,1168.13,5/3/2018
45,GothenburgBitFactory/taskwarrior,https://github.com/GothenburgBitFactory/taskwarrior,190,56,323,4618,37768,404,4,18,11812,277,357978649.3,357978649.3,9522902.09,2107292.29,50173.82,157424.05,12438.62,2/3/2018
46,AcademySoftwareFoundation/OpenColorIO,https://github.com/AcademySoftwareFoundation/OpenColorIO,123,120,459,1818,63889,151,17,22,1535,285,357117610.2,357117610.2,145298670.7,10960504.8,53378.09,429242.07,34049.36,7/14/2010
47,amazon-archives/amazon-dsstne,https://github.com/amazon-archives/amazon-dsstne,43,337,729,4405,32355,44,1,0,426,9,355269642,355269642,8495037.523,8495037.523,77983.47,492071.61,681684.8889,3/24/2016
48,zhangyuanwei/node-images,https://github.com/zhangyuanwei/node-images,19,47,205,1558,48652,56,1,3,210,17,352247424,352247424,138059998.3,138059998.3,371211.05,2906984.96,415492.2941,2/24/2013
49,brainflow-dev/brainflow,https://github.com/brainflow-dev/brainflow,56,30,336,1345,158795,18,1,97,1371,212,351578269,351578269,81618988.22,81618988.22,91008.1,465665.56,16261.44,7/15/2018
50,sqlitebrowser/sqlitebrowser,https://github.com/sqlitebrowser/sqlitebrowser,194,503,2160,21684,35308,715,3,42,4150,287,351216324.3,351216324.3,10196792.84,1785361.01,2662777.66,176888.74,5232.55,5/4/2014
51,istio/proxy,https://github.com/istio/proxy,137,121,1143,824,13148,0,4,0,3425,221,351153600,351153600,0,0,47482.55,54832.21,3701.58,12/1/2016
52,stp/stp,https://github.com/stp/stp,59,34,130,530,34755,48,4,9,3188,21,350551981.8,350551981.8,111675858.6,111675858.6,267925.66,744196.42,255761.0952,8/27/2013
53,nmrugg/stockfish.js,https://github.com/nmrugg/stockfish.js,82,24,133,957,207051,53,1,0,4028,50,347068937,347068937,14388765.32,14388765.32,40823.34,2985567.03,156507.64,6/11/2014
54,KhronosGroup/SPIRV-Tools,https://github.com/KhronosGroup/SPIRV-Tools,253,86,569,1102,26607,394,9,13,4125,261,345982061.4,345982061.4,34757090.97,1207252.06,96725.79,112250.35,2983.99,11/11/2015
55,FalconChristmas/fpp,https://github.com/FalconChristmas/fpp,85,93,204,598,62645,116,2,73,7648,272,345802204,345802204,37827125.62,1256231.4,49144.85,50834.54,11883.29,7/16/2013
56,zeek/zeek,https://github.com/zeek/zeek,212,352,1231,6579,181579,159,5,85,17610,289,344970670.4,344970670.4,18105618.65,1726365.57,52640.74,29557.86,2946.84,7/6/2012
57,EsotericSoftware/spine-runtimes,https://github.com/EsotericSoftware/spine-runtimes,207,254,2929,4502,483141,90,10,0,9626,287,344933137.5,344933137.5,110557572.8,110557572.8,35443.7,53743.87,20676.91,2/19/2013
58,reaper-oss/sws,https://github.com/reaper-oss/sws,36,44,86,461,22222,458,12,4,3176,35,344403547.3,344403547.3,6726445.19,6499823.98,162121.52,200814.29,218236.0857,7/8/2014
59,stlab/adobe_source_libraries,https://github.com/stlab/adobe_source_libraries,21,39,47,278,28307,10,2,2,305,131,340948825.5,340948825.5,146775305.8,146775305.8,314371.25,3162271.14,57965.79,11/9/2012
60,linuxdeepin/dde-control-center,https://github.com/linuxdeepin/dde-control-center,40,21,132,178,382919,0,3,58,1119,298,340907169,340907169,0,0,69339.91,30477.7,4427.23,11/6/2013
61,moai/moai-dev,https://github.com/moai/moai-dev,147,145,313,947,400701,161,4,1,7166,8,338749081,338749081,8947650.36,28618373.43,7264.37,796080.01,949559.875,4/8/2011
62,realm/realm-core,https://github.com/realm/realm-core,148,58,169,1025,108739,214,33,72,22316,208,337786198.7,337786198.7,37618898.42,2448146.2,241394.02,159359.09,35497.18,6/18/2011
63,opengisch/QField,https://github.com/opengisch/QField,37,69,239,868,420127,229,5,220,9213,293,336074352.8,336074352.8,33232333.17,965301.29,91503.07,5052.89,5193.44,11/26/2014
64,tomlooman/EpicSurvivalGame,https://github.com/tomlooman/EpicSurvivalGame,9,379,1180,3281,1589505,15,2,0,185,60,334136765.5,334136765.5,66379966.67,66379966.67,536830.4,2628155.98,118345.4167,3/20/2015
65,Ultimaker/CuraEngine,https://github.com/Ultimaker/CuraEngine,127,145,891,1709,74277,186,18,5,13853,297,333784227.8,333784227.8,22554947.36,4901596.15,141559.57,54589.68,26523.68,3/4/2013
66,deskflow/deskflow,https://github.com/deskflow/deskflow,133,357,3894,15256,112564,161,17,5,4928,265,327149965.5,327149965.5,10401905.05,386363.72,324150.09,18952.42,2368.56,10/12/2014
67,canonical/multipass,https://github.com/canonical/multipass,57,116,660,8035,27692,488,13,52,9258,292,325069108.6,325069108.6,11943147.27,2012517.59,58742.39,45884.34,3080.42,12/13/2017
68,ccache/ccache,https://github.com/ccache/ccache,200,63,506,2377,13485,44,9,88,4835,241,323230648.7,323230648.7,99177711.5,99177711.5,4827.93,191901.96,14290.53,1/6/2010
69,Farama-Foundation/Arcade-Learning-Environment,https://github.com/Farama-Foundation/Arcade-Learning-Environment,63,80,432,2213,18598,34,5,17,1016,167,316121182,316121182,141300069.1,141300069.1,722795.65,913712.48,47842.15,9/15/2012
70,arangodb/arangodb,https://github.com/arangodb/arangodb,167,331,838,13644,2850816,741,48,0,51768,261,313015809.2,313015809.2,4454588.52,2931386.02,59786.49,61549.53,1913.18,10/26/2011
71,ARM-software/ML-examples,https://github.com/ARM-software/ML-examples,30,46,198,443,94158,36,1,27,190,24,311349922,311349922,4040812.444,4040812.444,1227058.78,970308.22,307881.375,1/8/2018
72,edubart/otclient,https://github.com/edubart/otclient,91,100,399,652,20527,83,7,0,2772,16,310596851.7,310596851.7,77182285.76,77182285.76,133116.45,1556396.42,430637.375,11/18/2010
73,cmangos/mangos-tbc,https://github.com/cmangos/mangos-tbc,630,100,543,451,176007,0,12,1,13740,289,309721052.2,309721052.2,0,0,12962.32,88591.36,18310.59,11/23/2012
74,mendersoftware/mender,https://github.com/mendersoftware/mender,83,38,196,1005,13555,0,4,14,4002,294,308181528.5,308181528.5,0,0,73709.27,84651.12,25880.4,12/7/2015
75,OpenRCT2/OpenRCT2,https://github.com/OpenRCT2/OpenRCT2,664,202,1580,13773,239777,1542,39,45,27565,250,308025581.6,308025581.6,6489662.97,2748199.17,23025.18,21573.54,2111.27,4/1/2014
76,anura-engine/anura,https://github.com/anura-engine/anura,36,31,82,388,356566,121,7,1,3975,102,306999926,306999926,29226704.1,21287103.22,20981.54,808016.42,71039.2,5/3/2013
77,RenderKit/ospray,https://github.com/RenderKit/ospray,92,69,187,1028,32498,53,2,49,9515,45,306839237,306839237,102100373.5,102100373.5,206699.15,271960.94,171620,6/20/2013
78,facebook/mvfst,https://github.com/facebook/mvfst,342,69,246,1522,21117,40,3,0,8234,284,305749207,305749207,20986871.95,20986871.95,12097.54,27564.4,33121.22,4/9/2018
79,loco-3d/crocoddyl,https://github.com/loco-3d/crocoddyl,48,28,180,891,22618,18,1,17,5856,172,305344819,305344819,138403452.9,138403452.9,127827.04,109429.16,51480.76,6/4/2019
80,dosbox-staging/dosbox-staging,https://github.com/dosbox-staging/dosbox-staging,178,40,160,1364,51477,184,3,21,13648,276,305209842,305209842,18389942.68,301105.71,19872.07,30190.66,4840.51,9/14/2019
81,skmp/reicast-emulator,https://github.com/skmp/reicast-emulator,81,42,347,1110,71699,237,7,14,4013,14,302415179.9,302415179.9,47908035.16,4412464.22,10237.29,1045161.42,409481.2143,12/18/2013
82,cg-tuwien/Auto-Vk-Toolkit,https://github.com/cg-tuwien/Auto-Vk-Toolkit,13,17,32,416,254005,65,1,0,674,23,300919455,300919455,8777585.738,8777585.738,190448.84,636837.66,300153.087,8/18/2019
83,ZDoom/gzdoom,https://github.com/ZDoom/gzdoom,230,114,562,2617,160994,144,14,72,22050,254,300728258.1,300728258.1,6130005.93,1506685.52,69913.23,61735.08,8266.06,6/23/2013
84,otland/forgottenserver,https://github.com/otland/forgottenserver,182,185,1068,1616,34042,179,55,7,4004,270,299059627.5,299059627.5,5882320.81,6833431.66,23023.68,188045.75,18093.94,7/1/2013
85,apache/mesos,https://github.com/apache/mesos,409,366,1673,5287,421954,0,13,0,18448,64,298269446,298269446,0,0,33570.32,68069.72,120649.6406,7/17/2013
86,google/oboe,https://github.com/google/oboe,55,140,573,3753,55859,124,2,15,1873,226,297979255.5,297979255.5,8174479.62,1528830.15,186720.43,273720.13,32614.77,10/2/2017
87,sleuthkit/sleuthkit,https://github.com/sleuthkit/sleuthkit,146,183,615,2677,65543,358,26,23,11685,276,297919196.6,297919196.6,58915618.66,28009598.23,341226.27,37565,18044.71,10/12/2011
88,coin-or/CppAD,https://github.com/coin-or/CppAD,19,29,99,494,43072,9,1,1,7385,75,297234566,297234566,130616520.8,130616520.8,100125.04,47069.91,103503.44,1/13/2015
89,KDE/ghostwriter,https://github.com/KDE/ghostwriter,76,93,313,4398,33271,0,1,33,1429,152,295358561,295358561,0,0,169292.4,232349.36,45013.85,8/22/2015
90,crosswalk-project/crosswalk,https://github.com/crosswalk-project/crosswalk,148,145,653,2325,18123,114,11,2,6407,8,293980768.5,293980768.5,8604329.66,1905682.26,67651.17,210631.44,677807.25,4/3/2013
91,afritz1/OpenTESArena,https://github.com/afritz1/OpenTESArena,21,104,68,1020,18996,24,1,15,4026,201,293168632,293168632,91662213.21,91662213.21,120625.17,53805.44,44541.18,1/29/2016
92,usdot-fhwa-stol/carma-platform,https://github.com/usdot-fhwa-stol/carma-platform,54,49,124,410,71431,264,3,25,7787,292,292574945.3,292574945.3,33104752.88,3171737.41,29348.38,229491.23,38179.11,10/22/2018
93,alembic/alembic,https://github.com/alembic/alembic,52,85,254,1069,15868,36,3,35,1995,48,289878535.3,289878535.3,49407762.64,49407762.64,127109.9,977972.94,150029.7292,7/1/2014
94,Project-OSRM/osrm-backend,https://github.com/Project-OSRM/osrm-backend,202,223,3459,6540,49039,415,34,27,8696,240,289777849.4,289777849.4,14100607.46,4700131.79,75280.7,216839.86,10017.99,9/22/2011
95,letscontrolit/ESPEasy,https://github.com/letscontrolit/ESPEasy,200,213,2221,3325,482390,380,16,358,15640,296,289718391.9,289718391.9,12405456.16,2083640.36,219445.36,16311.9,7753.87,9/8/2015
96,swoole/swoole-src,https://github.com/swoole/swoole-src,212,819,3163,18534,53231,88,2,245,12993,280,289117538.5,289117538.5,93921775.01,93921775.01,296251.38,72751.2,7760.42,7/21/2012
97,zaps166/QMPlay2,https://github.com/zaps166/QMPlay2,39,43,183,926,18950,91,1,79,3378,234,288537249,288537249,63814150.33,63814150.33,233414.04,28752.47,16815.53,9/24/2014
98,basho/eleveldb,https://github.com/basho/eleveldb,54,91,178,261,10251,22,7,6,718,1,285344602.1,285344602.1,31997385,31997385,295826.75,2048469.09,0,5/14/2011
99,mcostalba/Stockfish,https://github.com/mcostalba/Stockfish,160,163,474,1942,12981,0,9,0,4655,20,285235253.1,285235253.1,0,0,40823.34,90885.47,366585.35,10/3/2011
100,multitheftauto/mtasa-blue,https://github.com/multitheftauto/mtasa-blue,159,75,445,1434,920762,865,48,12,9779,256,283732895.5,283732895.5,43820309.63,2216131.28,24804.87,30273,6193.42,3/20/2015
101,KhronosGroup/glslang,https://github.com/KhronosGroup/glslang,329,120,858,3149,77039,345,17,44,5186,277,281443386.5,281443386.5,25725809.15,2836677.73,152851.05,138211.46,15965.94,6/25/2015
102,pafuhana1213/KawaiiPhysics,https://github.com/pafuhana1213/KawaiiPhysics,15,69,298,2073,157448,4,1,22,387,195,281354410,281354410,228607896.8,228607896.8,184780.08,119141.1,41453.38,7/1/2019
103,AcademySoftwareFoundation/OpenImageIO,https://github.com/AcademySoftwareFoundation/OpenImageIO,260,132,608,2014,189107,126,19,118,6117,299,280773858.4,280773858.4,85292291.92,3578005.04,63739.52,88985.94,6050.04,2/2/2011
104,milkytracker/MilkyTracker,https://github.com/milkytracker/MilkyTracker,60,58,166,1765,11298,70,4,7,907,268,279898558.5,279898558.5,28715874.23,28715874.23,40334.51,250532.55,16703.71,10/20/2013
105,rism-digital/verovio,https://github.com/rism-digital/verovio,82,48,187,694,89345,168,4,73,15518,288,279764466.3,279764466.3,20766926.42,1597321.3,28041.36,37693.93,9282,1/9/2014
106,stan-dev/math,https://github.com/stan-dev/math,172,50,190,762,695567,289,14,54,28402,293,279701636.8,279701636.8,50325832.96,5987978.75,29246.3,172733.18,40055.33,7/1/2015
107,trailofbits/polytracker,https://github.com/trailofbits/polytracker,17,38,45,539,38164,45,1,6,2335,58,278130432,278130432,44330889.73,44330889.73,64500.99,482127.34,120053.2586,10/31/2019
108,xapian/xapian,https://github.com/xapian/xapian,58,50,283,812,105540,0,12,0,19836,49,276680828.1,276680828.1,0,0,11158.15,166022.54,152553.6531,6/23/2010
109,QuasarApp/CQtDeployer,https://github.com/QuasarApp/CQtDeployer,18,25,92,602,14701,20,1,60,2374,73,276594741,276594741,103762939.4,103762939.4,75829.21,636836.96,104482.9178,8/17/2018
110,MultiMC/Launcher,https://github.com/MultiMC/Launcher,130,96,885,4364,16340,294,6,17,3193,264,274488500.7,274488500.7,16298909.99,512375.62,59690.43,560997.02,6798.71,9/8/2013
111,armory3d/armortools,https://github.com/armory3d/armortools,26,119,349,3379,170330,229,1,9,4182,273,274100682,274100682,8813391,6597954.31,282683.16,33521.13,8553.05,2/6/2017
112,Artelnics/opennn,https://github.com/Artelnics/opennn,50,104,361,1153,510039,33,4,11,6993,229,273849872,273849872,63956456.18,63956456.18,995336.65,186712.17,41208.67,11/13/2015
113,homenc/HElib,https://github.com/homenc/HElib,42,191,769,3169,13243,175,7,15,1606,49,273482194.6,273482194.6,25648071.8,7273128.49,169601.85,881098.12,154917.0204,4/5/2013
114,bloomberg/bde,https://github.com/bloomberg/bde,190,149,319,1692,223108,15,5,0,14544,107,272678649.6,272678649.6,121680099.7,121680099.7,111997.95,60137.21,74340,11/9/2012
115,krishauser/Klampt,https://github.com/krishauser/Klampt,46,17,98,389,135231,20,1,2,3582,33,270829794,270829794,58681377.95,58681377.95,83845.08,345790.62,240430.7273,10/29/2013
116,uxlfoundation/oneDAL,https://github.com/uxlfoundation/oneDAL,104,47,217,620,88512,23,26,27,2178,283,268439787.4,268439787.4,76221226,76221226,12670.25,90622.74,6938.32,3/28/2016
117,catchorg/Catch2,https://github.com/catchorg/Catch2,419,442,3071,18924,28080,400,30,100,4557,293,267565034.9,267565034.9,19583953.85,2837444.4,71599,277562.22,11135.29,11/8/2010
118,cnr-isti-vclab/meshlab,https://github.com/cnr-isti-vclab/meshlab,78,161,833,4930,299722,185,3,26,10778,270,266251581.7,266251581.7,22833967.97,6429852.84,31581.88,388579.65,26918.07,11/7/2016
119,microsoft/react-native-windows,https://github.com/microsoft/react-native-windows,215,279,1147,16563,272506,802,31,524,8836,268,264757979.9,264757979.9,11526040.08,1644120.85,30376.72,60356.89,2912.39,12/15/2015
120,owncloud/client,https://github.com/owncloud/client,192,161,668,1410,223259,500,25,119,17807,282,264591846.8,264591846.8,13658158.98,1373881.8,52355.84,96415.1,8420.3,8/25/2012
121,percona/percona-xtrabackup,https://github.com/percona/percona-xtrabackup,766,100,343,1330,4345107,0,16,0,343269,158,262540321.3,262540321.3,0,0,21479.74,214321.29,44312.15,2/13/2015
122,SFML/SFML,https://github.com/SFML/SFML,222,347,1767,10529,110299,107,43,8,3643,268,261750729.5,261750729.5,25935626.52,3226207.97,101278.99,92305.32,5985.09,3/25/2011
123,microsoft/bond,https://github.com/microsoft/bond,63,192,323,2620,17770,140,2,29,1441,24,261590318.5,261590318.5,10083384.44,6628798.96,43381.58,1374439.84,279408.6667,12/15/2014
124,jasp-stats/jasp-desktop,https://github.com/jasp-stats/jasp-desktop,78,53,212,798,4778205,0,10,30,8812,295,260835290.8,260835290.8,0,0,250215.38,60941.29,22276.04,6/1/2013
125,ImageEngine/cortex,https://github.com/ImageEngine/cortex,61,78,124,536,111510,40,6,293,9794,122,260298776.3,260298776.3,61584592.18,61584592.18,349901.41,256031.86,61700.35,6/12/2013
126,mesos/mesos,https://github.com/mesos/mesos,43,46,76,419,307673,0,2,0,2008,0,258580404,258580404,0,0,14196.55,754973.32,0,3/24/2010
127,sirjuddington/SLADE,https://github.com/sirjuddington/SLADE,80,48,111,725,32459,326,3,50,3092,227,258281673,258281673,25752183.8,5196142.39,360880.67,321339.79,20782.91,10/4/2012
128,Dice-Developer-Team/Dice,https://github.com/Dice-Developer-Team/Dice,13,8,158,490,186080,2,1,28,1339,14,258272021,258272021,33087165.5,33087165.5,140622.49,500045.7,535920.7143,2/10/2018
129,vgmtrans/vgmtrans,https://github.com/vgmtrans/vgmtrans,18,40,82,908,26000,112,1,18,1354,119,255099571,255099571,54301082.34,14989083.47,33975.88,184979.76,70025.26,7/15/2013
130,nuttyartist/notes,https://github.com/nuttyartist/notes,34,58,345,3888,15045,127,1,11,1249,269,254090650,254090650,18700817.84,3537173.89,104067.24,325100.61,44885.69,12/25/2015
131,stuntrally/stuntrally,https://github.com/stuntrally/stuntrally,24,32,127,616,1354177,22,2,1,6132,21,251967895.5,251967895.5,16601543.27,16601543.27,2997.49,423723.43,353361.1905,4/10/2011
132,FedoraQt/MediaWriter,https://github.com/FedoraQt/MediaWriter,117,32,169,766,16758,69,3,49,1550,296,251124655,251124655,82360004.12,82360004.12,89932.47,241635.95,28878.56,5/13/2016
133,dji-sdk/Onboard-SDK,https://github.com/dji-sdk/Onboard-SDK,60,99,633,925,248960,65,6,17,1346,21,249094110.5,249094110.5,220328111.2,220328111.2,74244.82,753542.03,357933.4286,6/7/2015
134,ROBOTIS-GIT/DynamixelSDK,https://github.com/ROBOTIS-GIT/DynamixelSDK,25,48,422,474,28549,92,3,31,527,85,248578131.7,248578131.7,20183453.9,20183453.9,80357.26,1608703.58,93159.17647,3/8/2016
135,OpenXcom/OpenXcom,https://github.com/OpenXcom/OpenXcom,180,119,491,1942,31454,34,11,0,8362,71,247580580.4,247580580.4,75864758.85,75864758.85,146643.54,1108439.99,107448.0141,2/6/2011
136,boost-ext/di,https://github.com/boost-ext/di,30,68,138,1178,75027,80,1,4,5061,26,247365706,247365706,33289847.94,33289847.94,43016.97,1755649.92,282100.7308,1/23/2012
137,cnr-isti-vclab/vcglib,https://github.com/cnr-isti-vclab/vcglib,34,72,358,1169,45661,69,5,7,6815,58,245306647.4,245306647.4,5022419.507,5022419.507,27779,361058.07,136605.0862,6/14/2016
138,AxioDL/metaforce,https://github.com/AxioDL/metaforce,18,58,42,601,51134,50,1,1,7371,12,241199296,241199296,24701927.78,24701927.78,81671.51,551851.39,577809,4/19/2015
